iter	Passed	Remaining
579	34554	25022
580	34628	24973
581	34688	24913
582	34745	24852
583	34810	24796
584	34871	24737
585	34934	24680
586	34989	24617
587	35046	24556
588	35104	24495
589	35164	24436
590	35225	24377
591	35291	24322
592	35364	24272
593	35422	24211
594	35482	24151
595	35544	24094
596	35600	24031
597	35657	23970
598	35711	23907
599	35776	23850
600	35838	23792
601	35895	23731
602	35960	23675
603	36018	23614
604	36073	23552
605	36127	23488
606	36186	23428
607	36243	23367
608	36307	23310
609	36363	23249
610	36415	23184
611	36474	23124
612	36535	23065
613	36590	23003
614	36646	22941
615	36709	22883
616	36765	22821
617	36818	22758
618	36872	22695
619	36935	22637
620	36992	22576
621	37058	22521
622	37117	22461
623	37187	22407
624	37246	22347
625	37302	22286
626	37359	22225
627	37421	22166
628	37485	22109
629	37556	22057
630	37625	22002
631	37694	21948
632	37750	21887
633	37806	21825
634	37875	21770
635	37949	21719
636	38010	21660
637	38065	21598
638	38131	21542
639	38230	21504
640	38350	21478
641	38414	21421
642	38472	21360
643	38535	21302
644	38596	21243
645	38658	21184
646	38717	21124
647	38781	21066
648	38844	21008
649	38897	20944
650	38955	20884
651	39010	20821
652	39067	20760
653	39124	20699
654	39180	20637
655	39242	20578
656	39298	20516
657	39354	20454
658	39413	20394
659	39471	20333
660	39530	20273
661	39585	20211
662	39637	20147
663	39693	20085
664	39749	20023
665	39804	19962
666	39855	19897
667	39908	19834
668	39967	19774
669	40025	19714
670	40110	19666
671	40176	19610
672	40234	19549
673	40291	19488
674	40345	19425
675	40407	19366
676	40469	19308
677	40525	19246
678	40579	19183
679	40635	19122
680	40693	19062
681	40747	18999
682	40802	18937
683	40857	18875
684	40912	18813
685	40972	18754
686	41024	18691
687	41085	18631
688	41141	18570
689	41202	18511
690	41257	18449
691	41312	18387
692	41370	18327
693	41427	18266
694	41487	18206
695	41552	18149
696	41635	18100
697	41692	18039
698	41749	17977
699	41810	17918
700	41867	17858
701	41921	17795
702	41977	17734
703	42033	17673
704	42091	17612
705	42146	17551
706	42202	17490
707	42266	17431
708	42325	17371
709	42383	17311
710	42444	17252
711	42506	17193
712	42561	17132
713	42618	17071
714	42671	17009
715	42733	16950
716	42789	16889
717	42845	16828
718	42900	16766
719	42958	16705
720	43025	16649
721	43080	16587
722	43134	16526
723	43197	16467
724	43263	16410
725	43325	16351
726	43389	16293
727	43464	16239
728	43527	16180
729	43584	16120
730	43642	16059
731	43706	16001
732	43774	15945
733	43837	15886
734	43899	15827
735	43958	15767
736	44022	15709
737	44076	15647
738	44130	15585
739	44197	15528
740	44262	15471
741	44327	15412
742	44394	15355
743	44467	15300
744	44530	15241
745	44585	15180
746	44641	15119
747	44698	15058
748	44756	14998
749	44816	14938
750	44882	14881
751	44955	14825
752	45033	14771
753	45101	14714
754	45161	14655
755	45223	14595
756	45278	14534
757	45337	14474
758	45393	14413
759	45466	14357
760	45537	14301
761	45605	14244
762	45664	14184
763	45720	14123
764	45775	14061
765	45840	14003
766	45897	13942
767	45951	13881
768	46019	13823
769	46078	13763
770	46141	13704
771	46203	13645
772	46272	13588
773	46333	13528
774	46408	13473
775	46532	13431
776	46621	13380
777	46683	13320
778	46741	13260
779	46801	13200
780	46859	13139
781	46925	13081
782	46987	13021
783	47060	12965
784	47125	12906
785	47216	12855
786	47332	12810
787	47398	12751
788	47456	12691
789	47519	12631
790	47583	12572
791	47643	12512
792	47706	12452
793	47765	12392
794	47827	12332
795	47888	12272
796	47945	12212
797	48012	12153
798	48118	12104
799	48182	12045
800	48239	11984
801	48299	11924
802	48363	11865
803	48425	11805
804	48483	11744
805	48545	11684
806	48607	11624
807	48665	11564
808	48729	11504
809	48785	11443
810	48850	11384
811	48909	11323
812	48967	11263
813	49022	11201
814	49096	11144
815	49156	11084
816	49216	11024
817	49278	10964
818	49336	10903
819	49394	10842
820	49448	10781
821	49508	10720
822	49575	10661
823	49630	10600
824	49688	10540
825	49749	10479
826	49811	10420
827	49869	10359
828	49926	10298
829	49988	10238
830	50053	10179
831	50126	10121
832	50183	10060
833	50245	10000
834	50303	9940
835	50360	9879
836	50413	9817
837	50469	9756
838	50529	9696
839	50595	9637
840	50649	9575
841	50707	9515
842	50765	9454
843	50825	9394
844	50886	9334
845	50938	9272
846	50995	9211
847	51051	9150
848	51117	9091
849	51174	9030
850	51241	8971
851	51298	8910
852	51353	8849
853	51408	8788
854	51468	8728
855	51534	8669
856	51591	8608
857	51646	8547
858	51707	8487
859	51766	8427
860	51819	8365
861	51876	8305
862	51939	8245
863	51996	8184
864	52053	8123
865	52126	8065
866	52192	8006
867	52257	7946
868	52312	7886
869	52367	7824
870	52424	7764
871	52477	7703
872	52538	7643
873	52602	7583
874	52709	7529
875	52760	7468
876	52815	7407
877	52870	7346
878	52923	7285
879	52981	7224
880	53042	7164
881	53115	7106
882	53175	7045
883	53230	6985
884	53284	6923
885	53337	6862
886	53405	6803
887	53480	6745
888	53550	6686
889	53620	6627
890	53689	6568
891	53757	6508
892	53815	6448
893	53876	6388
894	53932	6327
895	53988	6266
896	54044	6205
897	54099	6144
898	54171	6085
899	54225	6025
900	54283	5964
901	54344	5904
902	54398	5843
903	54454	5782
904	54507	5721
905	54566	5661
906	54646	5603
907	54775	5549
908	54867	5492
909	54921	5431
910	54975	5370
911	55039	5310
912	55094	5249
913	55161	5190
914	55216	5129
915	55274	5068
916	55329	5008
917	55387	4947
918	55444	4886
919	55500	4826
920	55556	4765
921	55617	4705
922	55677	4644
923	55735	4584
924	55792	4523
925	55845	4462
926	55903	4402
927	55963	4342
928	56021	4281
929	56078	4220
930	56158	4162
931	56218	4101
932	56274	4041
933	56327	3980
934	56382	3919
935	56437	3858
936	56493	3798
937	56548	3737
938	56608	3677
939	56669	3617
940	56728	3556
941	56790	3496
942	56847	3436
943	56904	3375
944	56959	3315
945	57012	3254
946	57076	3194
947	57134	3133
948	57207	3074
949	57263	3013
950	57320	2953
951	57373	2892
952	57426	2832
953	57477	2771
954	57537	2711
955	57608	2651
956	57677	2591
957	57731	2531
958	57790	2470
959	57850	2410
960	57904	2349
961	57958	2289
962	58013	2228
963	58072	2168
964	58132	2108
965	58192	2048
966	58248	1987
967	58303	1927
968	58355	1866
969	58408	1806
970	58465	1746
971	58569	1687
972	58636	1627
973	58704	1567
974	58762	1506
975	58818	1446
976	58877	1386
977	58948	1326
978	59010	1265
979	59064	1205
980	59119	1145
981	59173	1084
982	59252	1024
983	59313	964
984	59372	904
985	59432	843
986	59489	783
987	59545	723
988	59600	662
989	59671	602
990	59736	542
991	59790	482
992	59845	421
993	59903	361
994	59970	301
995	60034	241
996	60089	180
997	60150	120
998	60213	60
999	60272	0
