,beds,sqft
113196,-- sqft,
113198,"2,874 sqft",
113239,Baths,
113274,"5,148 sqft",
113343,0.37 acres,
113359,2 Beds,
113376,Baths,
113412,Baths,
113455,-- bd,
113509,"6,969 sqft",
113525,Baths,
113641,Baths,
113675,0,
113677,Baths,
113751,2 Beds,
113830,"5,000 sqft",
113901,4 bd,
113954,4 Beds,
113962,Bath,
114019,"4,739 sqft",
114023,10 acres,
114083,4 Beds,
114098,Baths,
114133,Baths,
114277,18.64 acres,
114408,Baths,
114543,2 Beds,
114597,4 bd,
114607,"9,025 sqft",
114661,1.11 acres,
114690,Baths,
114694,3 Beds,
114741,"6,969 sqft",
114767,1.08 acres,
114908,6 bd,
115057,3 Beds,
115072,2 Beds,
115123,"8,712 sqft",
115154,Bath,
115165,5 bd,
115215,Baths,
115233,64 Beds,
115261,2 bd,
115267,0.36 acres,
115313,-- bd,
115334,"2,439 sqft",
115413,"4,534 sqft",
115434, ,
115455,"9,321 sqft",
115490,Baths,
115590,Baths,
115593,3 bd,
115627,Baths,
115675,"8,624 sqft",
115698,0.76 acres,
115714,3 Beds,
115740,Baths,
115764,4,
115779,4,
115832,"6,899 sqft",
116000,Baths,
116008,11 Beds,
116059,0.69 acres,
116081,0.37 acres,
116153,0.49 acres,
116189,Baths,
116302,-- sqft,
116321,0.88 acres,
116358,3 bd,
116366,Baths,
116379,3 Beds,
116456,3 bd,
116472,0.6 acres,
116495,4 Beds,
116566,3 Beds,
116605,Baths,
116613,0.26 acres,
116616,0.26 acres,
116750,Baths,
116753,Baths,
116765,5 bd,
116802,Baths,
116818,Baths,
116827,"2,443 sqft",
116865,2,
116950,Baths,
116977,3 bd,
116998,4 bd,
117028,3 Beds,
117054,Baths,
117058,Baths,
117127,3 Beds,
117165,1,
117168,"10,598 sqft",
117257,0.3 acres,
117280,Bath,
117342,"7,875 sqft",
117360,0.96 acres,
117399,2 Beds,
117457,"8,999 sqft",
117535,-- bd,
117561,2 bd,
117581,Baths,
117582,1,
117633,5 acres,
117698,2 bd,
117702,0.5 acres,
117727,5,
117730,Baths,
117733,"10,798 sqft",
117737,2,
117740,0.47 acres,
117804,-- bd,
117851,Baths,
117876,4 Beds,
117940,0.28 acres,
117981,3 Beds,
118002,Baths,
118021,0.34 acres,
118070,"5,340 sqft",
118091,Bath,
118126,3 bd,
118180,0.76 acres,
118213,"3,120 sqft",
118307,"5,000 sqft",
118359,Baths,
118374,Baths,
118381,3 bd,
118405,Baths,
118440,0.36 acres,
118450,Baths,
118464,0.72 acres,
118472,2 bd,
118652,4 bd,
118671,0,
118717,3,
118726,"5,000 sqft",
118732,-- bd,
118740,4 bd,
118768,3,
118852,"5,000 sqft",
118867,4,
118897,64 Beds,
118929,4 bd,
119007,2 bd,
119097,6 Beds,
119155,0.53 acres,
119226,2 Beds,
119259,4 Beds,
119276,4 bd,
119319,4 Beds,
119334,64 Beds,
119355,Baths,
119401,0.94 acres,
119411,1.71 acres,
119448,Baths,
119458,4 Beds,
119493,"10,018 sqft",
119502,"5,009 sqft",
119519,6 Beds,
119581,3 bd,
119598,"7,405 sqft",
119600,5 Beds,
119644,5 Beds,
119659,3 bd,
119683,2 Beds,
119714,4.81 acres,
119783,2 bd,
119830,2.59 acres,
119852,3 bd,
119861,1 bd,
119944,Baths,
119953,3 bd,
119958,0,
119970,Baths,
119992,3,
120021,Baths,
120127,184 acres,
120134,0,
120253, ,
120257,2 bd,
120262,24.22 acres,
120389,"10,641 sqft",
120420,1.63 acres,
120454,2 bd,
120529,Baths,
120533,Bath,
120561,Baths,
120600,5 bd,
120601,2.45 acres,
120619,2 Beds,
120650,0.43 acres,
120700,5 Beds,
120728,Baths,
120729,"10,001 sqft",
120906,"8,372 sqft",
120927,3 Beds,
120977,Baths,
121080,4 bd,
121095,Baths,
121163,3 Beds,
121189,3 bd,
121218,1.1 acres,
121311,2.94 acres,
121360,3,
121367,"6,577 sqft",
121451,Baths,
121525,-- bd,
121554,5 Beds,
121604,3 bd,
121616,0.78 acres,
121635,3 bd,
121655,4.14 acres,
121663,"5,248 sqft",
121755,2,
121762,2,
121775,Bath,
121792,Bath,
121804,3 bd,
121847,2 Beds,
121862,3,
121878,4 bd,
121895,Baths,
121908,3 Beds,
121910,"2,874 sqft",
121930,0.29 acres,
122071,7 Beds,
122139,2 acres,
122379,6 bd,
122384,-- bd,
122415,"4,356 sqft",
122457,3 Beds,
122505,2 Beds,
122518,Baths,
122551,2 Beds,
122587,4 Beds,
122598,"9,583 sqft",
122615,7 Beds,
122617,"10,528 sqft",
122625,4 Beds,
122688,0,
122739,Baths,
122751,4 bd,
122826,Baths,
123024,0.33 acres,
123043,2 bd,
123160,4 Beds,
123172,2 bd,
123233,4 Beds,
123274,5 Beds,
123278,3 Beds,
123306,"7,200 sqft",
123334,Baths,
123335,"1,999 sqft",
123359,0,
123433,3 Beds,
123442,2 bd,
123468,3 Beds,
123475,2 Beds,
123499,Baths,
123512,Baths,
123570,5 Beds,
123574,-- sqft,
123594,"7,840 sqft",
123734,"10,018 sqft",
123755,-- bd,
123786,Baths,
123793,5 bd,
123843,5 Beds,
123849,Baths,
123854,3 Beds,
123948,0.25 acres,
123988,2 Beds,
124025,-- bd,
124027,1 acre,
124057,3 bd,
124111,4 Beds,
124135,4 Beds,
124200,2 Beds,
124245,2,
124263,Baths,
124313,4 bd,
124322,1.24 acres,
124326,2 Beds,
124337,Baths,
124367,9 Beds,
124390,4 Beds,
124398,3 Beds,
124559,2 bd,
124633,0.67 acres,
124635,4 Beds,
124658,Baths,
124691,"7,122 sqft",
124704,Baths,
124752,"2,000 sqft",
124770,4 Beds,
124831,2 bd,
124833,0.95 acres,
124850,3 bd,
124869,0.51 acres,
124875,"4,748 sqft",
124942,"5,654 sqft",
124961,5 bd,
124990,5 bd,
125097,2 Beds,
125117,2 Beds,
125145,64 Beds,
125149,0.28 acres,
125174,3 Beds,
125210,"9,365 sqft",
125249,3,
125356,"5,488 sqft",
125492,4 bd,
125500,2 Beds,
125559,0.26 acres,
125683,0.72 acres,
125789,Bath,
125805,4 bd,
125866,Baths,
125918,4 bd,
125941,2 Beds,
125974,Bath,
125981,3 Beds,
125992,0.35 acres,
126038,Baths,
126064,Baths,
126068,1.98 acres,
126182,2 Beds,
126228,1.16 acres,
126230,0.66 acres,
126263,"7,148 sqft",
126334,3 Beds,
126356,4.99 acres,
126364,1 bd,
126379,8 bd,
126386,2,
126413,Baths,
126664,3 bd,
126677,3 bd,
126692,"10,454 sqft",
126712,2,
126735,10.9 acres,
126776,0.46 acres,
126786,"3,580 sqft",
126799,2 Beds,
126985,4 Beds,
127058,4 Beds,
127093,2 Beds,
127107,1,
127110,4 bd,
127165,0.53 acres,
127267,64 Beds,
127277,Baths,
127329,3.53 acres,
127345,4 Beds,
127371,Baths,
127378,2 Beds,
127396,0.34 acres,
127398,Baths,
127407,Baths,
127429,3 bd,
127465,0,
127485,Baths,
127501,Baths,
127512,"10,001 sqft",
127519,3 Beds,
127796,2 Beds,
127802,6 Beds,
127816,5 Beds,
127820,Baths,
127867,Baths,
127910,3 Beds,
127915,3 bd,
127925,3 Beds,
127975,0,
127981,"3,375 sqft",
128023,2 Beds,
128025,"6,599 sqft",
128263,2 Beds,
128288,"10,001 sqft",
128309,Bath,
128366,0.58 acres,
128383,1.1 acres,
128422,Baths,
128425,1.08 acres,
128428,4 Beds,
128475,"9,600 sqft",
128523,"6,499 sqft",
128538,0.43 acres,
128593,Baths,
128631,"6,838 sqft",
128634,Baths,
128675,4 Beds,
128683,6 Beds,
128722,Baths,
128757,Baths,
128774,2 Beds,
128778,4 bd,
128792,3 bd,
128883,2,
128945,4,
128963,Bath,
128977,3 Beds,
128980,"9,147 sqft",
129009,-- bd,
129082,Baths,
129140,-- sqft,
129149,3 Beds,
129233,Baths,
129250,Baths,
129258,1 acre,
129330,0.43 acres,
129335,4,
129339,3 Beds,
129364,Baths,
129383,Baths,
129435,-- bd,
129491,"6,272 sqft",
129495,-- bd,
129574,3,
129584,5,
129729,-- bd,
129865,5 Beds,
129888,5 Beds,
129956,1.15 acres,
130034,"7,840 sqft",
130054,8.29 acres,
130063,-- bd,
130105,Bath,
130109,4 bd,
130117,0.25 acres,
130206,3 bd,
130223,"4,599 sqft",
130300,0.44 acres,
130318,3 bd,
130329,4 bd,
130388,"7,013 sqft",
130393,0.4 acres,
130421,"5,009 sqft",
130434,3 Beds,
130438,"3,354 sqft",
130449,"10,018 sqft",
130464,Baths,
130478,"5,000 sqft",
130491,3 Beds,
130508,-- sqft,
130536,"3,049 sqft",
130537,2 bd,
130547,"5,501 sqft",
130602,2 Beds,
130750,0.66 acres,
130810,0.28 acres,
130822,4 Beds,
130830,3 Beds,
130832,0,
130947,6 Beds,
130994,2 Beds,
131028,3 Beds,
131030,-- bd,
131032,3,
131053,8 bd,
131084,"6,481 sqft",
131189,2 Beds,
131191,3,
131222,Baths,
131238,0.57 acres,
131256,6 bd,
131339,Bath,
131353,1.5 acres,
131422,3 Beds,
131504,3 Beds,
131563,11,
131566,3 bd,
131667,3 bd,
131684,10.02 acres,
131763,3,
131767,0,
131801,Baths,
131873,3 bd,
131940,3 bd,
131941,"7,200 sqft",
131947,3,
131949,"5,501 sqft",
132014,7 Beds,
132066,1.83 acres,
132079,7 Beds,
132143,0.27 acres,
132150,Baths,
132213,3,
132274,4 bd,
132315,2 bd,
132359,Bath,
132421,4 Beds,
132473,0.47 acres,
132493,4 bd,
132578,-- sqft,
132719,1.75 acres,
132742,2 Beds,
132752,"6,534 sqft",
132759, ,
132764,"3,519 sqft",
132765,Baths,
132796,6 Beds,
132834,"5,301 sqft",
132855,"6,285 sqft",
132860,4 Beds,
133003,Baths,
133015,2,
133038,"3,598 sqft",
133048,4,
133055,Baths,
133091,Bath,
133114,1.03 acres,
133115,"5,301 sqft",
133127,6 Beds,
133163,0.28 acres,
133211,Baths,
133260,1.43 acres,
133347,Baths,
133367,2 Beds,
133376,3 Beds,
133411,2,
133429,"5,000 sqft",
133448, ,
133453,"5,349 sqft",
133479,2 Beds,
133481,3 bd,
133574,1.08 acres,
133575,Baths,
133622,Baths,
133642,1.06 acres,
133650,"10,105 sqft",
133682,Baths,
133699,1.01 acres,
133742,Baths,
133797,3,
133848,3 Beds,
133880,0.26 acres,
133895,"6,725 sqft",
133989,3,
133994,Baths,
133998,2,
134018,Baths,
134137,0.4 acres,
134139,4 Beds,
134174,4 Beds,
134195,0.61 acres,
134197,2 bd,
134215,3 Beds,
134340,"6,751 sqft",
134399,3 bd,
134416,6 Beds,
134419,3 bd,
134456,"6,098 sqft",
134480,5 Beds,
134486,Baths,
134535,"8,023 sqft",
134557,Baths,
134606,"7,039 sqft",
134613,0.74 acres,
134651,Baths,
134678,Baths,
134720,1.14 acres,
134778,"7,535 sqft",
134815,0.54 acres,
134828,Baths,
134841,"6,316 sqft",
134868,2 Beds,
134931,0.85 acres,
134953,2 Beds,
134980,Bath,
134982,Baths,
134996,4 Beds,
135064,3 Beds,
135094,"3,998 sqft",
135130,3 Beds,
135139,2 Beds,
135158,Baths,
135171,3 bd,
135240,"10,193 sqft",
135272,5 bd,
135319,2 Beds,
135378,-- bd,
135386,0.53 acres,
135387,8.93 acres,
135401,4 bd,
135432,0.36 acres,
135456,3 bd,
135608,3 Beds,
135737,Baths,
135788,Baths,
135842,5 bd,
135885,0.89 acres,
135971,Baths,
136003,"5,510 sqft",
136043,3,
136181,5 Beds,
136199,1,
136213,4 Beds,
136284,2 Beds,
136308,1.59 acres,
136358,3 Beds,
136381,2 Beds,
136582,Baths,
136651,0.81 acres,
136668,3.8 acres,
136705,3 Beds,
136716,"2,874 sqft",
136725,Baths,
136788,7 bd,
136834,1,
136889,3 bd,
136908,1 bd,
137249,3 bd,
137256,3 bd,
137270,Baths,
137326,2,
137397,-- sqft,
137481,3 bd,
137505,1.27 acres,
137518,4 bd,
137586,3 Beds,
137607,0.33 acres,
137610,Bath,
137631,3 Beds,
137725,Baths,
137785,10 acres,
137796,3 bd,
137811,2,
137862,4 bd,
137885,Bath,
137938,"7,104 sqft",
138010,Baths,
138032,3 bd,
138050,Baths,
138078,3 Beds,
138082,Baths,
138136,Baths,
138142,Baths,
138253,3 bd,
138313,4 bd,
138332,4 bd,
138415,Bath,
138422,3 Beds,
138437,4 Beds,
138462,"6,899 sqft",
138479,0.43 acres,
138508,2 Beds,
138590,6 Beds,
138596,"3,049 sqft",
138613,3 Beds,
138623,Baths,
138624,"9,443 sqft",
138743,3 Beds,
138767,3 Beds,
138812,1 bd,
138826,Bath,
138836,5 Beds,
138892,-- bd,
138946,Baths,
138958,2 Beds,
138962,Baths,
138964,4 Beds,
138990,Baths,
139026,0.85 acres,
139068,-- bd,
139087,Baths,
139210,6 Beds,
139300,5.11 acres,
139432,Baths,
139477,3 bd,
139503,5 Beds,
139528,Baths,
139548,0.4 acres,
139668,Baths,
139710,3 bd,
139716,4 bd,
139812,5,
139824,4 bd,
139826,40 Beds,
139852,Baths,
139866,Baths,
139881,Baths,
139951,Baths,
139964,3 Beds,
139997,2 bd,
140000,2 Beds,
140004,Bath,
140053,Baths,
140059,"3,225 sqft",
140101,0.32 acres,
140102,Bath,
140104,"1,210 sqft",
140163,64 Beds,
140166,4 bd,
140175,1 bd,
140195,2,
140281,Bath,
140290,8 Beds,
140297,3 bd,
140325,0.47 acres,
140327,6,
140372,0.27 acres,
140526,-- sqft,
140621,Baths,
140817,3 Beds,
140917,"3,998 sqft",
140948,3 Beds,
140953,"6,250 sqft",
140975,-- bd,
140976,5.79 acres,
141003,2 Beds,
141031,1.5 acres,
141136,"3,998 sqft",
141310,"6,054 sqft",
141339,Baths,
141355,"5,998 sqft",
141423,3 Beds,
141480,"7,440 sqft",
141498,2 Beds,
141528,0.52 acres,
141546,3 Beds,
141554,Baths,
141579,Baths,
141679,0.35 acres,
141736,0.44 acres,
141805,Baths,
141861,1 acre,
141928,"6,250 sqft",
141939,1.07 acres,
141956,-- sqft,
141986,-- bd,
142008,-- sqft,
142084,6 Beds,
142095,5 Beds,
142139,Baths,
142153,4 Beds,
142178,2 Beds,
142220,4.02 acres,
142229,0,
142254,1 acre,
142260,"6,272 sqft",
142312,-- sqft,
142332,Baths,
142335,Bath,
142396,0.28 acres,
142479,3 bd,
142542,Baths,
142641,Baths,
142646,2.55 acres,
142672,-- bd,
142679,"7,492 sqft",
142703,2 Beds,
142711,4 bd,
142767,2 bd,
142898,1.1 acres,
142970,3 bd,
143021,2 bd,
143036,"5,662 sqft",
143047,6,
143053,1.04 acres,
143070,2 Beds,
143192,8 Beds,
143197,2 Beds,
143210,3 Beds,
143336,2.83 acres,
143349,5 Beds,
143505,-- bd,
143555,3 Beds,
143576,3 bd,
143606,5 bd,
143626,Bath,
143663,Bath,
143673,2 Beds,
143691,0.66 acres,
143709,0.8 acres,
143821,0,
143872,Baths,
143878,Bath,
143926,7 Beds,
143942,3 bd,
143954,"6,917 sqft",
143980,3 bd,
144013,Baths,
144061,Baths,
144128,4 bd,
144213,Baths,
144228,"8,999 sqft",
144337,Baths,
144426,3 bd,
144479,5 Beds,
144591,3 bd,
144596,Bath,
144708,12 bd,
144713,2,
144730,4 bd,
144782,3 Beds,
144798,1.01 acres,
144827,1.6 acres,
144831,3 bd,
144879,2 bd,
144912,5 bd,
145053,"7,884 sqft",
145099,Baths,
145138,"9,375 sqft",
145144,1.41 acres,
145170,4 bd,
145176,1,
145189,1,
145211,3 Beds,
145213,0.39 acres,
145249,"10,018 sqft",
145252,5 Beds,
145311,3 Beds,
145317,"5,601 sqft",
145415,"4,748 sqft",
145438,1.62 acres,
145471,0.79 acres,
145628,Bath,
145665,Bath,
145681,"9,888 sqft",
145774,542 acres,
145781,2 Beds,
145841,7 Beds,
145848,2 bd,
145941,Bath,
145971,Bath,
145981,2 bd,
145984,"5,523 sqft",
145991,Baths,
146020,Baths,
146112,0.28 acres,
146115,3 bd,
146260,2 Beds,
146268,3,
146359,Baths,
146379,3 Beds,
146457,-- bd,
146458,3 Beds,
146462,-- sqft,
146476,0.43 acres,
146495,6 Beds,
146511,Baths,
146571,1.92 acres,
146611,"9,600 sqft",
146625,3 bd,
146652,0.29 acres,
146675,0.57 acres,
146768,3,
146785,3 Beds,
146791,"8,999 sqft",
146830,Baths,
146854,Bath,
146876,Bath,
146917,5 Beds,
146936,3 Beds,
147002,0.36 acres,
147108,2 Beds,
147127,Baths,
147185,4 Beds,
147216,5 bd,
147223,Bath,
147266,1 acre,
147287,"7,139 sqft",
147327,1.09 acres,
147339,2 Beds,
147344,Baths,
147355,2 bd,
147366,3 bd,
147378,2,
147476,0.43 acres,
147480,0.3 acres,
147485,1 bd,
147510,1.97 acres,
147567,-- bd,
147682,-- sqft,
147687,0.35 acres,
147736,3 bd,
147749,4 bd,
147751,2 Beds,
147762, ,
147765,Baths,
147779,Baths,
147787,"8,341 sqft",
147903,"8,624 sqft",
147957,"10,001 sqft",
147980,4 Beds,
147983,6 Beds,
148022,3 bd,
148040, ,
148093,2,
148112,64 Beds,
148165,6 Beds,
148182,-- bd,
148188,2 Beds,
148290,2 Beds,
148316,Baths,
148398,2 Beds,
148414,0.77 acres,
148438,0.29 acres,
148446,0.3 acres,
148592,3,
148696,0.59 acres,
148789,2.07 acres,
148821,-- sqft,
148836,0,
148893, ,
148923,Baths,
148931,0.34 acres,
148954,2 bd,
148966,1 acre,
149171,2 Beds,
149216,10 Beds,
149256,9 Beds,
149262, ,
149273,4 Beds,
149275,-- bd,
149303,"6,141 sqft",
149326,"5,009 sqft",
149338,1.2 acres,
149489,3 Beds,
149490,2 Beds,
149533,4 bd,
149706,5 bd,
149788,3 bd,
149841,Bath,
149887,0.4 acres,
149913,Bath,
149926,-- sqft,
149934,3 bd,
150003,15 acres,
150020,3 Beds,
150061,0.73 acres,
150080,Baths,
150167,Baths,
150297,3 Beds,
150302,0.63 acres,
150354,"7,980 sqft",
150356,Baths,
150402,1,
150414,"5,148 sqft",
150479,Baths,
150485,0.3 acres,
150491,Baths,
150516,Bath,
150537,0.58 acres,
150545, ,
150547,Baths,
150592,Baths,
150642,"1,524 sqft",
150705,0.34 acres,
150718,2 Beds,
150737,Baths,
150765,Baths,
150837,23.87 acres,
150876,2 Beds,
150925,5 Beds,
150959,0.41 acres,
150989,2 Beds,
151010,2 Beds,
151017,Baths,
151080,"5,000 sqft",
151094,Baths,
151106,2 Beds,
151211,Baths,
151214,Baths,
151238,4 bd,
151250,3 Beds,
151266,6 bd,
151336,5 Beds,
151387,3 bd,
151491,"5,000 sqft",
151496,3 Beds,
151515,6.77 acres,
151525,Baths,
151633,1.07 acres,
151684,2 Beds,
151702,0.52 acres,
151743,4 bd,
151792,-- bd,
151872,"9,583 sqft",
151922,Baths,
152000,-- bd,
152029,"6,098 sqft",
152048,Baths,
152066,Baths,
152084,2.44 acres,
152102,4.77 acres,
152105,Baths,
152122,1.03 acres,
152168,4 Beds,
152248,2 Beds,
152284,Baths,
152297,2 Beds,
152371,3,
152394,4 bd,
152472,"8,712 sqft",
152495,2 Beds,
152522,5 Beds,
152540,4 Beds,
152573,3 Beds,
152635,Bath,
152680,Bath,
152690,"9,461 sqft",
152777,Baths,
152781,Baths,
152846,Baths,
152853,4 bd,
152856,Baths,
152917,Baths,
152928,"4,791 sqft",
152936,Baths,
152983,3 Beds,
152998,Bath,
153071,4 Beds,
153116,-- sqft,
153126,5 Beds,
153159,6 Beds,
153161,Baths,
153198,2 bd,
153205,"8,001 sqft",
153261,Bath,
153294,Baths,
153308,1 bd,
153343,0.86 acres,
153414,"7,000 sqft",
153430,Baths,
153434,Baths,
153438,0.78 acres,
153485,Baths,
153501,Baths,
153545,Baths,
153574,3 Beds,
153579,0.3 acres,
153585,Baths,
153663,0,
153746,"7,840 sqft",
153759,3 Beds,
153823,4 Beds,
153862,5 Beds,
153921,Bath,
153929,"3,571 sqft",
154089,Baths,
154140,Baths,
154175,Baths,
154186,Baths,
154191,-- sqft,
154265,0.32 acres,
154280,2,
154300,"8,298 sqft",
154311,1 bd,
154340,3.76 acres,
154351,3 bd,
154372,1.45 acres,
154425,0.28 acres,
154443,4 Beds,
154459,2 bd,
154638,Baths,
154649,4 Beds,
154684,3 Beds,
154704,64 Beds,
154756,Baths,
154797,6 bd,
154805,3,
154869,4 bd,
154879,40 acres,
154958,Bath,
155006,4 Beds,
155012,Bath,
155019,0.54 acres,
155058,Bath,
155065,Baths,
155075,1 acre,
155128,10 Beds,
155148,3 Beds,
155177,0,
155192,"8,232 sqft",
155220,Baths,
155229,"9,291 sqft",
155294,"6,756 sqft",
155330,"6,115 sqft",
155358,2 Beds,
155380,Bath,
155386,2 Beds,
155418,Bath,
155431,-- sqft,
155502,"3,310 sqft",
155634,1.94 acres,
155643,3,
155686,"7,069 sqft",
155696,"7,244 sqft",
155713,"6,673 sqft",
155715,3,
155836,4 Beds,
155895,1.66 acres,
155931,Baths,
156031,"7,348 sqft",
156060,2,
156126,2,
156234,0.41 acres,
156237,4 Beds,
156241,3 bd,
156242,2.68 acres,
156252,3 bd,
156286,"4,800 sqft",
156304,2.58 acres,
156359,2 Beds,
156372,Baths,
156378,1,
156385,1 acre,
156412,6 Beds,
156467,4 bd,
156480,"5,243 sqft",
156495,3 Beds,
156673,3 bd,
156792,4 bd,
156858,3 bd,
156884,2 bd,
156962,3,
156985,"9,670 sqft",
157005,Bath,
157014,Baths,
157023,2 bd,
157046,1,
157175,-- bd,
157177,"7,840 sqft",
157258,Baths,
157264,0.27 acres,
157290,2 Beds,
157435,Bath,
157514,3 Beds,
157516,3 bd,
157576,5 bd,
157651,Baths,
157696,2,
157734,"4,573 sqft",
157754,2 Beds,
157769,Bath,
157892,4 bd,
157929,Bath,
157930,"4,830 sqft",
157958,"3,937 sqft",
157984,2.87 acres,
158029, ,
158038,Bath,
158139,2,
158180,Baths,
158207,2 bd,
158287,0.7 acres,
158377,3 Beds,
158384,6 bd,
158436,1.52 acres,
158481,Baths,
158492,5.64 acres,
158510,3 bd,
158547,Baths,
158587,2,
158666,Baths,
158688,6 Beds,
158750,26.5 acres,
158800,"8,015 sqft",
158807,Baths,
158828,1 acre,
158837,3 Beds,
158851,Bath,
158856,0,
158858,3 Beds,
158882,2 bd,
158913,3 bd,
158971,Baths,
158995,2.34 acres,
159056,3 bd,
159117,16.21 acres,
159201,9 Beds,
159235,Bath,
159351,-- bd,
159423,6,
159467,0.34 acres,
159496, ,
159508,1.16 acres,
159608,4 Beds,
159789,47.6 acres,
159800,-- bd,
159945,3 Beds,
159958,2 Beds,
160047,3 Beds,
160068,-- bd,
160081,2 Beds,
160122,0.88 acres,
160211,Baths,
160269,"4,835 sqft",
160312,Baths,
160387,Baths,
160401,0,
160446,Baths,
160548,Bath,
160597,1 acre,
160615,0.28 acres,
160636,Baths,
160658,3 bd,
160693,0.62 acres,
160748,"7,666 sqft",
160761,4 bd,
160965,4 bd,
160979,5 Beds,
160984,2 Beds,
161014,2.5 acres,
161034,"6,952 sqft",
161040,2 bd,
161047,5 Beds,
161082,2.31 acres,
161098,"7,405 sqft",
161246,"9,757 sqft",
161247,1.2 acres,
161250,2,
161271,4 Beds,
161293,2 Beds,
161306,7,
161363,2 Beds,
161436,"8,712 sqft",
161476,27.59 acres,
161592,1.38 acres,
161597,Baths,
161619,6 Beds,
161712,Baths,
161718,3 bd,
161728,0.28 acres,
161764,Baths,
161766,4 Beds,
161770,-- bd,
161801,"4,874 sqft",
161814,"8,890 sqft",
161874,2 Beds,
161971,1.29 acres,
162033,Baths,
162037,1.25 acres,
162128,1.73 acres,
162233,0.35 acres,
162304,1,
162385,2.16 acres,
162386,3.67 acres,
162424,0.3 acres,
162662,1.02 acres,
162692,0.97 acres,
162745,Baths,
162754,Baths,
162786,1,
162837,5 Beds,
162919,11.55 acres,
162946,"2,025 sqft",
162975,Bath,
163017,Baths,
163021,"5,248 sqft",
163130,0.44 acres,
163236,0.68 acres,
163323,Bath,
163548,3 Beds,
163553,4.64 acres,
163579,Baths,
163608,4.49 acres,
163718,2 Beds,
163744,Baths,
163750,0.69 acres,
163758,0.29 acres,
163778,-- bd,
163804,4 bd,
163864,8 Beds,
163922,Baths,
163983,Baths,
164022,Baths,
164194,"7,492 sqft",
164204,"1,742 sqft",
164229,"3,484 sqft",
164328,2,
164332,Bath,
164348,Bath,
164404,4.96 acres,
164423,Bath,
164463,-- bd,
164504,3 Beds,
164561,1.14 acres,
164562,3 Beds,
164746,3 bd,
164754,Baths,
164784,"4,909 sqft",
164846,0.64 acres,
164870,Baths,
164878,58.9 acres,
164927,5,
164962,2 bd,
164980,4 Beds,
165134,5 Beds,
165142,"6,446 sqft",
165151,Bath,
165160,"6,838 sqft",
165175,0.67 acres,
165183,Baths,
165204,"7,013 sqft",
165217,"5,227 sqft",
165231,-- bd,
165234,Baths,
165255,Bath,
165288,2 bd,
165297,Baths,
165319,6 Beds,
165337,6 bd,
165368,3 Beds,
165377,2 Beds,
165444,Baths,
165476,3,
165478,0.26 acres,
165493,3 Beds,
165507,0.96 acres,
165579,4 bd,
165640,0.27 acres,
165702,Baths,
165765,3 bd,
165838,"5,270 sqft",
165879,Baths,
165894,0.55 acres,
165970,Baths,
165989,Baths,
166001,Baths,
166042,Baths,
166048,34 Beds,
166060,"7,501 sqft",
166120,2 Beds,
166124,2 bd,
166139,2 Beds,
166214,0.78 acres,
166454,Baths,
166530,"4,120 sqft",
166644,Bath,
166661,Baths,
166703,"7,801 sqft",
166722,3 Beds,
166748,6.62 acres,
166783,0.29 acres,
166794,Baths,
166802,3 Beds,
166820,Bath,
166869,3 bd,
166880,3,
166892,4 bd,
166976,2,
167044,0.32 acres,
167056,4,
167116,5,
167159,4 bd,
167258,Bath,
167302,4 bd,
167332,"4,356 sqft",
167380,0.55 acres,
167426,Bath,
167617,3 bd,
167634,"10,349 sqft",
167766,Baths,
167779,3 bd,
167814,4,
167827,0,
167849,3 Beds,
167887,Bath,
167972,2 bd,
168034,"3,998 sqft",
168069,2.17 acres,
168103,4 bd,
168140,Baths,
168209,3 bd,
168264,0.33 acres,
168267,6 Beds,
168313,2 Beds,
168345,"6,481 sqft",
168352,0.32 acres,
168360,"6,006 sqft",
168368,"7,562 sqft",
168388,16.57 acres,
168434,3 bd,
168449,-- bd,
168474,Baths,
168541,"7,082 sqft",
168552,3 bd,
168614,Baths,
168625,"5,026 sqft",
168631,0.46 acres,
168654,"4,704 sqft",
168667,"7,535 sqft",
168735,1.87 acres,
168736,4 Beds,
168765,3 Beds,
168794,-- bd,
168833,5 Beds,
168869,-- sqft,
168873,0.3 acres,
168904,"9,099 sqft",
168932,Bath,
169075,Baths,
169079,15.56 acres,
169159,2 Beds,
169174,Bath,
169188,Bath,
169252,4 bd,
169258,3 Beds,
169277,2.24 acres,
169283,2 Beds,
169319,2 Beds,
169375, ,
169394,8 Beds,
169455,50 acres,
169462,1,
169606,4,
169650,1.03 acres,
169654,Baths,
169679,3 Beds,
169692,2 bd,
169840,Baths,
169841,"5,904 sqft",
169844,3 Beds,
169901,"8,450 sqft",
169957,2 Beds,
169974,3,
169998,0.27 acres,
170039,Bath,
170057,Baths,
170063,-- bd,
170064,Baths,
170095,Baths,
170112,0.34 acres,
170240,1,
170269,0.36 acres,
170275,"6,873 sqft",
170335,5 Beds,
170427,0.5 acres,
170478,Baths,
170505,1.33 acres,
170506,"6,464 sqft",
170540,8 Beds,
170561,Baths,
170631,Baths,
170636,-- bd,
170723,-- sqft,
170732,2 Beds,
170901,6 Beds,
170919,2 Beds,
170964,4 Beds,
170985,2 Beds,
170989,2 Beds,
171065,3,
171123,64 Beds,
171275,4 bd,
171391,-- bd,
171399,12.57 acres,
171405,9 Beds,
171442,4 bd,
171523,Baths,
171567,3 acres,
