,beds,sqft
21704,"10,001 sqft",
21728,0.52 acres,
21810,5 bd,
21857,"6,141 sqft",
21860,2 Beds,
21925,"10,454 sqft",
21933,Bath,
21937,4,
21952,5 Beds,
21991,2 bd,
21998,Baths,
22031,-- bd,
22041,Baths,
22063,"4,996 sqft",
22069,6,
22088,Baths,
22133,2 Beds,
22142,0.38 acres,
22180,1 bd,
22237,0.31 acres,
22355,Baths,
22361,"10,201 sqft",
22398,0.29 acres,
22415,-- bd,
22471,2 bd,
22479,4 bd,
22490,Baths,
22508,2 Beds,
22513,-- bd,
22605,0.32 acres,
22646,Baths,
22662,1.28 acres,
22742,Bath,
22749,Baths,
22794,4 Beds,
22818,-- sqft,
22882,3 bd,
22883,3 bd,
22898,4 bd,
22917,0.47 acres,
22924, ,
22936,-- bd,
22940,1.53 acres,
22997,2 Beds,
22999,3 bd,
23138,"10,105 sqft",
23162,Baths,
23181,2 bd,
23187,-- sqft,
23190,0.38 acres,
23210,Baths,
23282,-- bd,
23363,3 bd,
23382,Baths,
23465,4 Beds,
23489,1,
23544,-- bd,
23569,4 bd,
23573,3 bd,
23772,"4,791 sqft",
23780,Baths,
23820,4.82 acres,
23868,1,
23922,Baths,
23948,-- bd,
24065,-- bd,
24127,"2,874 sqft",
24132,1.08 acres,
24180,4 Beds,
24213,Baths,
24234,11.09 acres,
24300,3 bd,
24313,"7,701 sqft",
24331,"1,742 sqft",
24351,3 bd,
24365,4 Beds,
24366,3,
24385,2 Beds,
24425,"4,525 sqft",
24512,2 bd,
24586,"4,791 sqft",
24615,"3,942 sqft",
24688,4 Beds,
24690,1.03 acres,
24701,Baths,
24740,4 Beds,
24741,3 Beds,
24829,4,
24970,0.47 acres,
24971,Baths,
25034,0.33 acres,
25039,-- sqft,
25056,6 Beds,
25066,2 Beds,
25098,2 Beds,
25166,"3,998 sqft",
25170,Baths,
25197,"5,301 sqft",
25198,Baths,
25213,4 Beds,
25344,60 sqft,
25352,"7,618 sqft",
25383,2,
25390,-- bd,
25414,1 acre,
25421,"7,662 sqft",
25442,3 Beds,
25450,Baths,
25454,6 Beds,
25495,"7,100 sqft",
25729,0.59 acres,
25770,"5,227 sqft",
25822,3 bd,
25834,"2,983 sqft",
25842,2 Beds,
25869,0.34 acres,
25873,4 Beds,
25907,Baths,
25928,"5,998 sqft",
25941,3 bd,
25949,2 bd,
26105,3 bd,
26176, ,
26191,4,
26203,6.53 acres,
26241,2.51 acres,
26249,Baths,
26281,4 bd,
26359,-- bd,
26504,2 Beds,
26515,3 Beds,
26558,Baths,
26573,Bath,
26595,"2,874 sqft",
26597,4 bd,
26598,3 bd,
26842,"3,833 sqft",
26900,Baths,
26918,3 bd,
27018,14.53 acres,
27023,3 Beds,
27036,2 bd,
27117,6 Beds,
27142,"6,969 sqft",
27144,3 bd,
27182,6 Beds,
27184,2.19 acres,
27211,"10,650 sqft",
27220,0.59 acres,
27232,2.76 acres,
27244,2 Beds,
27325,0.78 acres,
27340,1.1 acres,
27384,2 Beds,
27563,0.27 acres,
27567,Baths,
27570,Baths,
27641,"8,084 sqft",
27669,3,
27782,2 bd,
27794,3 bd,
27817,0.48 acres,
27897,3,
27920,4 bd,
28081,Baths,
28101,5,
28113,4 bd,
28261,3 bd,
28299,"5,000 sqft",
28332,"8,751 sqft",
28374,"5,148 sqft",
28402,Baths,
28439,Baths,
28460,4,
28476,Baths,
28477,2 Beds,
28557,1.07 acres,
28602,64 Beds,
28686,0.33 acres,
28747,-- bd,
28752,2 Beds,
28815,1,
28819,5 Beds,
28869,-- bd,
28875,"5,000 sqft",
28886,Bath,
28989,5,
29021,"6,381 sqft",
29046,-- bd,
29093,Baths,
29162,4 bd,
29236,"2,718 sqft",
29278,4 bd,
29319,Baths,
29333,6 acres,
29341,2 bd,
29362,0.43 acres,
29368,3 bd,
29386,3 Beds,
29437,2.18 acres,
29456,"7,000 sqft",
29477,Baths,
29483,"6,856 sqft",
29492,0.44 acres,
29517,Baths,
29526,2 Beds,
29531,"5,314 sqft",
29600,4 Beds,
29611,-- sqft,
29673,3,
29711,"1,745 sqft",
29713,0.55 acres,
29841,Baths,
29921,1,
29991,4 Beds,
30114,3 Beds,
30150,Bath,
30182,2.5 acres,
30225,6 Beds,
30267,1.19 acres,
30278,-- sqft,
30393,"3,998 sqft",
30395,1.85 acres,
30437,1,
30456,4 bd,
30536,-- bd,
30563,0.33 acres,
30566,0,
30661,2 Beds,
30683,4,
30703, ,
30730,"5,662 sqft",
30773,4 bd,
30862,0,
30918,-- bd,
30926,2 Beds,
31060,"5,833 sqft",
31179,0.3 acres,
31197,"7,614 sqft",
31369,"6,699 sqft",
31373,3 Beds,
31435,"5,174 sqft",
31479,"3,571 sqft",
31572,5 Beds,
31755,-- bd,
31773,0,
31793,"5,227 sqft",
31901,2 bd,
31931,0.33 acres,
31944,2 Beds,
31958,4 bd,
31992,Baths,
31993,Baths,
32091,"8,812 sqft",
32109,"6,577 sqft",
32156,Baths,
32160,Bath,
32164,3 Beds,
32212,3 bd,
32230,Baths,
32253,Baths,
32276,Baths,
32288,4 bd,
32352,"4,791 sqft",
32366,1.65 acres,
32492,0.42 acres,
32515,3 bd,
32523,0.31 acres,
32534,Baths,
32553,3 bd,
32568,0.51 acres,
32581, ,
32677,3 Beds,
32682,3,
32702,Baths,
32788,0.43 acres,
32831,2 Beds,
32855,0.94 acres,
32861, ,
32919,0.34 acres,
33014,2.16 acres,
33021,3 Beds,
33025,3.76 acres,
33043,5,
33089,"10,018 sqft",
33106,"6,991 sqft",
33113,4,
33175,2 Beds,
33186,Baths,
33234,3 bd,
33243,0,
33268,Baths,
33278,3 Beds,
33353,0.41 acres,
33379,4 Beds,
33381, ,
33392,2 Beds,
33399,Baths,
33564,4 bd,
33597,2 bd,
33612,0.48 acres,
33613,3 Beds,
33656,-- bd,
33690,"6,098 sqft",
33739,3 Beds,
33775,3,
33790,"2,960 sqft",
33823,2 Beds,
33843,-- bd,
33883,Baths,
33916,Baths,
33946,"5,000 sqft",
33951,64 Beds,
34019,Baths,
34029,0,
34079,4 Beds,
34109,6 Beds,
34136,2,
34162,64 Beds,
34187,2 Beds,
34209,Baths,
34239,"5,850 sqft",
34354,5.14 acres,
34443,Baths,
34490,"8,563 sqft",
34510,1 acre,
34514,2 Beds,
34606,Baths,
34662,5 bd,
34728,5 bd,
34759,4,
34816,0.39 acres,
34929,4 bd,
34956,2 Beds,
35059,4 bd,
35167,3 Beds,
35181,Bath,
35200, ,
35217,6 Beds,
35263,3 bd,
35321,Baths,
35341,5 Beds,
35504,5 Beds,
35530,2 Beds,
35600,0.38 acres,
35634,4 bd,
35692,5.65 acres,
35729,Baths,
35757,2 bd,
35769,0.68 acres,
35821,Baths,
35840,Bath,
36100,4 Beds,
36102,"5,000 sqft",
36117,Baths,
36208,"7,405 sqft",
36248,0.64 acres,
36266,Bath,
36273,5 Beds,
36289,1,
36298,2 bd,
36310,Baths,
36331,4 Beds,
36425,3 Beds,
36466,"2,874 sqft",
36552,0.37 acres,
36577,3 bd,
36593,18 Beds,
36722,4.18 acres,
36723,3 bd,
36726,"5,501 sqft",
36755,Baths,
36786,2 Beds,
36790,-- sqft,
36820,3 bd,
36828,7 Beds,
36877,6.41 acres,
36885,Baths,
36891,-- bd,
36950,3,
37029,"2,731 sqft",
37059,1.7 acres,
37090,4 Beds,
37095,Baths,
37101,4 Beds,
37260,2 Beds,
37267,3 Beds,
37288,3,
37316,"8,494 sqft",
37376,3 Beds,
37378,"3,920 sqft",
37463,3 bd,
37483,Baths,
37508,Baths,
37534,Baths,
37593,4 Beds,
37683,-- sqft,
37797,4.27 acres,
37895,5 Beds,
37975,4 bd,
38020,0.58 acres,
38027,"7,492 sqft",
38035,2 Beds,
38074,2 Beds,
38082,6 Beds,
38092,Baths,
38103,3 Beds,
38170,3 Beds,
